ID,TH,EN,S_CN,T_CN,JP
001,อ้าวมิกิ มาได้จังหวะพอดีเลย,Oh; Miki; you came at the perfect time.,001,001,001
002,ฉันกำลังลองทำขนมปังสูตรใหม่พอดี อยากจะให้เธอช่วยลองชิมหน่อยได้ไหม,I'm trying out a new bread recipe right now. Would you mind tasting it for me?,002,002,002
003,ดูท่าจะชอบสินะ...,You seem to like it...,003,003,003
004,ทำไมฉันไม่ไปอยู่ร้านดัง ๆ ในเมืองเหรอ? อื่ม...,Why don't I go to a famous store in the city? Hmm...,004,004,004
005,ฉันจะเล่าให้ฟังเอามั๊ย,Let me tell you a story.,005,005,005
006,ฉันเคยมีร้านขนมปังชื่อดังในเมืองใหญ่ด้วยล่ะมิกิ,I used to have a famous bakery in the big city.,006,006,006
007,ตอนนั้นฉันคือสุดยอดปาตีซีเยเลยนะ ทำขนมปังอะไรออกมาก็มีแต่คนให้ความสนใจ,I was a great pastry chef back then. Everyone was interested in whatever bread I made.,007,007,007
008,ถามใครก็มีแต่คนบอกว่าขนมปังของฉันคือที่สุด,If you ask anyone; they'll tell you that my bread is the best.,008,008,008
009,ฉันเคยมีความสุขกับชีวิตที่มีแสงสาดใส่ตลอดเวลา,I used to be happy with a life that was always in the spotlight.,009,009,009
010,แต่วันนึงฉันกลับพลาด ฉันทำขนมปังผิดสูตรจนคนที่มาทานท้องเสีย,But one day I made a mistake. The people who ate the bread got sick.,010,010,010
011,หลังจากนั้นชีวิตของฉันก็พลิกกลับตาลปัตร,After that; my life turned upside down.,011,011,011
012,จากที่มีแต่คนคอยชื่นชม ฉันกลับเจอแต่คำพูดที่ไม่เคยได้ยินมาก่อน,From being admired by everyone; I was suddenly met with words I had never heard before.,012,012,012
013,ขนมปังรสชาติห่วยแตกมานานแล้วบ้างล่ะ,Some people said that my bread has been tasting bad for a long time.,013,013,013
014,ที่ชมก็เพราะหวังกินฟรีบ้างล่ะ,Some people said that they only praised me because they wanted to eat for free.,014,014,014
015,มาร่วมแสดงความยินดีเพราะหวังมีหน้าตาตัวเองออกกล้องบ้างล่ะ,Some people said that they only came to congratulate me because they wanted to be on camera.,015,015,015
016,สำนักข่าวที่เคยเขียนชมฉัน ตอนนั้นก็กลายเป็นประโคมข่าวโจมตีเพื่อหวังยอดไลก์ ยอดแชร์,The news outlets that used to praise me turned into attacking me to get likes and shares.,016,016,016
017,ชีวิตของฉันพังทลายลงภายในวันเดียวเท่านั้น,My life was ruined in just one day.,017,017,017
018,ฉันเลยตัดสินใจเลือกมาใช้ชีวิตสงบสุขบนเกาะแมวแห่งนี้,So I decided to come and live a peaceful life on this cat island.,018,018,018
019,ตอนนี้จะบอกอะไรให้นะ ฉันมีความสุขกับการทดลองทำขนมปังใหม่ ๆ ตลอดเวลาเลยล่ะ,Let me tell you something; I'm happy to be experimenting with new bread recipes all the time now.,019,019,019
020,เอาล่ะ ดราม่าผ่านไปแล้ว ฉันมีเรื่องจะรบกวนเธอหน่อยล่ะ ฮะฮะฮะ,Okay; enough with the drama. I have a favor to ask of you; haha.,020,020,020
021,ฉันอยากให้เอาขนมปังที่เธอทานเมื่อกี้ไปให้คนอื่น ๆ ในเมืองลองทานดูหน่อย,I want you to take the bread you just ate and give it to other people in town to try.,021,021,021
022,แล้วช่วยถามความเห็นมาหน่อยว่าพวกเขามีความเห็นยังไงกับขนมปังสูตรใหม่นี้,And please ask them what they think of this new bread recipe.,022,022,022
023,พยายามคละอาชีพ กับอายุมาด้วยนะมิกิ,Try to get a mix of different occupations and ages; Miki.,023,023,023
