ID,TH,EN,S_CN,T_CN,JP
001,ตำนานของเกาะแห่งหนึ่งได้กล่าวไว้ว่า...,Once upon a time; ,,,
002,ได้มีเทพผู้พิทักษ์องค์หนึ่งได้ปกป้องผู้คนบนเกาะ ,on an island of cats;,,,
003,โดยได้รับพลังจากความรู้สึกดีๆของผู้คนที่ส่งมาถึง,there was a guardian god used the power of people's kindness to protect them.,,,
004,และมีปีศาจที่คอยออกมากัดกร่อนวิญญาณ,One day; a demonic cat emerged; feasting on darkness.,,,
005,ด้วยการมอบฝันร้ายให้มนุษย์,Causing them to have terrible nightmares.,,,
006,เทพผู้พิทักษ์ได้ล่วงรู้ และเข้าไปเผชิญหน้ากับปีศาจตนนั้น,The guardian god learned of this and did not stand idly by. ,,,
007,จนการต่อสู้ผ่านไป 7วัน 7คืน,He protected the villagers by fighting the demon for 7 days and 7 nights.,,,
008,ปีศาจเริ่มอ่อนแรง,Just when the demon was weakening; ,,,
009,เทพผู้พิทักษ์จึงได้ใช้พลังทั้งหมดเพื่อผนึกปีศาจร้าย,the guardian god seized the opportunity and used all his power to seal the demon away.,,,
010,ก่อนถูกผนึก ปีศาจได้ปลดปล่อยเหล่าวิญญานไปสร้างฝันร้ายให้แก่มนุษย์ ,However; before the demon was defeated; it released the demon spirits to create nightmares for the humans;,,,
011,เพื่อรวบรวมพลังรอวันโดนปลดผนึก,gathering power to wait for the day he would be strong enough to break the seal and wreak havoc again.,,,
012,แต่เนื่องจากเทพผู้พิทักษ์ได้ใช้พลังจากการผนึกจนเกือบหมดแล้ว,The guardian god tried to stop the evil spirits; but with his power almost depleted from sealing the demon; ,,,
013,จึงไม่สามารถต้านทานเหล่าวิญานร้ายได้,some of the evil spirits managed to escape his grasp.,,,
014,เทพผู้พิทักษ์จึงได้ใช้พลังเฮือกสุดท้าย...,So the guardian god used his last remaining strength...,,,
015,...เพื่ออัญเชิญสัตว์แห่งเทพ เพื่อช่วยดูแลปกป้องผู้คนบนเกาะก่อนที่จะต้องจำศีลเพื่อรอพลังฟื้น,He summoned a divine beast to protect the islanders before hibernating to regain his power.,,,
016,ประกาศ ตอนนี้เรือทำการเทียบท่าเรียบร้อยแล้ว ขอขอบคุณที่ใช้บริการ,Announcement: The ship has now docked. Thank you for your patronage.,,,
