DialogueKey,EventKeyCondition,Day,Time,TargetEventPoint
-,-,Mon Wed Fri,8.00-9.59,A04Laydown01
-,-,Mon Wed Fri,10.00-11.59,A04Sit01
-,-,Mon Tue Wed Thu Fri Sat Sun,12.00-14.59,A04SitBack
-,-,Mon Wed Fri,15.00-15.59,A04Laydown03
-,-,Mon Wed Fri,16.00-17.59,A04WashFace01
-,-,Mon Tue Wed Thu Fri Sat Sun,18.00-24.00,A04Laydown04
-,-,Tue Thu Sat Sun,8.00-9.59,A04Sit01
-,-,Tue Thu Sat Sun,10.00-11.59,A04Laydown01
-,-,Tue Thu Sat Sun,15.00-15.59,A04WashFace01
-,-,Tue Thu Sat Sun,16.00-17.59,A04Laydown03
